X,Y,address,adm1_boundary,adm2_boundary
89.957083,22.5662501,মোড়লগঞ্জ,Khulna,Bagerhat
89.7154163,22.7662501,"Jatrapur Bazar Main Road, Fakirhat, BGD",Khulna,Bagerhat
89.7904163,22.6329168,বাগেরহাট সদর,Khulna,Bagerhat
89.7237497,22.7829168,ফকিরহাট,Khulna,Bagerhat
89.707083,22.7829168,ফকিরহাট,Khulna,Bagerhat
89.782083,22.6495834,বাগেরহাট,Khulna,Bagerhat
89.7987497,22.6662501,বাগেরহাট সদর,Khulna,Bagerhat
89.7154163,22.7745834,"Kathaltola More, Fakirhat, BGD",Khulna,Bagerhat
90.2154163,22.9745834,গৌরনদী,Barisal,Barisal
90.157083,22.7995834,বানারীপারা,Barisal,Barisal
90.2237496,22.9662501,"ঢাকা-বলিশাল হাইওয়ে, গৌড়নদী, গৌরনদী",Barisal,Barisal
90.7654163,22.1745834,চর ফ্যাশন,Barisal,Bhola
90.632083,22.6912501,ভোলা,Barisal,Bhola
90.607083,22.6662501,ভোলা সদর,Barisal,Bhola
90.6237496,22.6829168,ভোলা সদর,Barisal,Bhola
90.632083,22.6995834,ভোলা সদর,Barisal,Bhola
90.6154163,22.6829168,ভোলা সদর,Barisal,Bhola
90.6154163,22.6912501,ভোলা সদর,Barisal,Bhola
90.9737496,23.8662501,"কোম্পানীগঞ্জ নবীনগর রোড, নবীনগর",Chittagong,Brahamanbaria
91.207083,24.0995834,সরাইল,Chittagong,Brahamanbaria
90.9237496,23.7995834,নবীনগর,Chittagong,Brahamanbaria
91.0737496,23.9745834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0404163,24.0329168,ব্রাহ্মনবাড়িয়া সদর,Chittagong,Brahamanbaria
90.9737496,23.8829168,নবীনগর,Chittagong,Brahamanbaria
91.032083,23.8745834,নবীনগর,Chittagong,Brahamanbaria
91.107083,23.9995834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.082083,24.0662501,সরাইল,Chittagong,Brahamanbaria
91.0654163,24.1329168,সরাইল,Chittagong,Brahamanbaria
91.0154163,24.0162501,ব্রাহ্মনবাড়িয়া সদর,Chittagong,Brahamanbaria
91.2154163,24.0912501,সরাইল,Chittagong,Brahamanbaria
91.1237496,24.0162501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.207083,23.8745834,আখাউড়া,Chittagong,Brahamanbaria
91.1487496,24.0579168,সরাইল,Chittagong,Brahamanbaria
91.0654163,24.0329168,ব্রাহ্মনবাড়িয়া সদর,Chittagong,Brahamanbaria
90.957083,23.8995834,নবীনগর,Chittagong,Brahamanbaria
91.107083,24.0495834,"Bisso Road, Sarail, BGD",Chittagong,Brahamanbaria
91.1987496,24.1995834,নাসিরনগর,Chittagong,Brahamanbaria
91.107083,24.0579168,সরাইল,Chittagong,Brahamanbaria
91.0737496,23.9662501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0154163,24.0329168,ব্রাহ্মনবাড়িয়া সদর,Chittagong,Brahamanbaria
91.057083,24.0412501,ব্রাহ্মনবাড়িয়া সদর,Chittagong,Brahamanbaria
91.082083,24.0079168,আশুগঞ্জ,Chittagong,Brahamanbaria
91.082083,23.9829168,আশুগঞ্জ,Chittagong,Brahamanbaria
91.157083,24.0495834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.1404163,24.0329168,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0487496,24.1579168,সরাইল,Chittagong,Brahamanbaria
91.0237496,24.0495834,সরাইল,Chittagong,Brahamanbaria
91.1154163,24.0412501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.1654163,24.0495834,সরাইল,Chittagong,Brahamanbaria
91.107083,24.0245834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.1154163,24.0829168,সরাইল,Chittagong,Brahamanbaria
91.1154163,24.0579168,"Madhobpur Bus Stand Road, Sarail, BGD",Chittagong,Brahamanbaria
91.057083,24.0745834,সরাইল,Chittagong,Brahamanbaria
90.957083,23.8495834,নবীনগর,Chittagong,Brahamanbaria
91.2154163,23.8745834,আখাউড়া,Chittagong,Brahamanbaria
91.2154163,24.1329168,নাসিরনগর,Chittagong,Brahamanbaria
91.107083,24.0412501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.057083,24.1579168,সরাইল,Chittagong,Brahamanbaria
91.0737496,23.7412501,ব্রাহ্মনপাড়া,Chittagong,Brahamanbaria
91.0987496,23.9495834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0737496,23.9912501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.082083,23.7495834,কশবা,Chittagong,Brahamanbaria
91.0737496,23.7495834,কশবা,Chittagong,Brahamanbaria
91.207083,24.0912501,সরাইল,Chittagong,Brahamanbaria
91.1154163,24.0079168,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0737496,23.9995834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0904163,24.0412501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.2737496,24.0745834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.057083,24.0579168,সরাইল,Chittagong,Brahamanbaria
91.2237496,24.0412501,আশুগঞ্জ,Chittagong,Brahamanbaria
90.9737496,23.8579168,"কোম্পানীগঞ্জ নবীনগর রোড, নবীনগর",Chittagong,Brahamanbaria
91.157083,24.0579168,সরাইল,Chittagong,Brahamanbaria
90.9154163,23.7995834,নবীনগর,Chittagong,Brahamanbaria
90.9737496,23.8745834,নবীনগর,Chittagong,Brahamanbaria
91.032083,24.0495834,সরাইল,Chittagong,Brahamanbaria
91.2404163,24.0579168,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0737496,23.9495834,নবীনগর,Chittagong,Brahamanbaria
91.1154163,23.9745834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.207083,24.2079168,নাসিরনগর,Chittagong,Brahamanbaria
91.2487496,24.0495834,আশুগঞ্জ,Chittagong,Brahamanbaria
90.9737496,23.8412501,নবীনগর,Chittagong,Brahamanbaria
91.0154163,24.0245834,ব্রাহ্মনবাড়িয়া সদর,Chittagong,Brahamanbaria
91.057083,23.9662501,আশুগঞ্জ,Chittagong,Brahamanbaria
90.9987496,24.0162501,ব্রাহ্মনবাড়িয়া সদর,Chittagong,Brahamanbaria
90.8987496,23.8579168,রায়পুরা,Chittagong,Brahamanbaria
91.1237496,24.0245834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0904163,23.9495834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.082083,24.0412501,সরাইল,Chittagong,Brahamanbaria
91.1404163,24.0412501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.2487496,24.0579168,আশুগঞ্জ,Chittagong,Brahamanbaria
90.8737496,23.8495834,নবীনগর,Chittagong,Brahamanbaria
90.882083,23.8495834,নবীনগর,Chittagong,Brahamanbaria
91.1987496,24.1329168,নাসিরনগর,Chittagong,Brahamanbaria
91.0987496,24.0162501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.1154163,23.9829168,আশুগঞ্জ,Chittagong,Brahamanbaria
91.1487496,24.0495834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.0987496,23.9995834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.1987496,24.1912501,নাসিরনগর,Chittagong,Brahamanbaria
91.2654163,24.0745834,আশুগঞ্জ,Chittagong,Brahamanbaria
91.107083,23.9662501,আশুগঞ্জ,Chittagong,Brahamanbaria
91.107083,24.0079168,আশুগঞ্জ,Chittagong,Brahamanbaria
91.2404163,24.2245834,নাসিরনগর,Chittagong,Brahamanbaria
91.0987496,24.0329168,আশুগঞ্জ,Chittagong,Brahamanbaria
90.9904163,24.0245834,"ফার্টিলাইজার রোড, ব্রাহ্মনবাড়িয়া",Dhaka,Brahamanbaria
91.0154163,24.0495834,ভৈরব,Dhaka,Brahamanbaria
91.0404163,24.1662501,সরাইল,Dhaka,Brahamanbaria
91.057083,24.1329168,সরাইল,Dhaka,Brahamanbaria
90.9904163,24.0162501,ব্রাহ্মনবাড়িয়া,Dhaka,Brahamanbaria
90.9987496,24.0412501,"পুরাতন ফেরী ঘাট রোড, ব্রাহ্মনবাড়িয়া",Dhaka,Brahamanbaria
91.032083,24.1662501,সরাইল,Dhaka,Brahamanbaria
90.657083,23.0245834,হাইমচর,Chittagong,Chandpur
90.682083,23.2162501,"R140, Chandpur Sadar, BGD",Chittagong,Chandpur
90.6487496,23.2162501,চাঁদপুর,Chittagong,Chandpur
90.682083,23.2329168,চাঁদপুর,Chittagong,Chandpur
90.7404163,23.1329168,ফরিদগঞ্জ,Chittagong,Chandpur
90.6404163,23.1995834,চাঁদপুর সদর,Chittagong,Chandpur
90.707083,23.3329168,মতলব,Chittagong,Chandpur
90.707083,23.2495834,চাঁদপুর সদর,Chittagong,Chandpur
90.6904163,23.2079168,"Nanupur Road, Chandpur Sadar, BGD",Chittagong,Chandpur
90.8404163,23.4329168,কচুয়া,Chittagong,Chandpur
90.7404163,23.1245834,ফরিদগঞ্জ,Chittagong,Chandpur
90.832083,23.2412501,হাজীগঞ্জ,Chittagong,Chandpur
90.8654163,23.2412501,হাজীগঞ্জ,Chittagong,Chandpur
90.6404163,23.2162501,চাঁদপুর সদর,Chittagong,Chandpur
90.8654163,23.2329168,হাজীগঞ্জ,Chittagong,Chandpur
90.832083,23.4412501,কচুয়া,Chittagong,Chandpur
90.6654163,23.2079168,চাঁদপুর,Chittagong,Chandpur
90.8404163,23.4412501,"গৌরীপুর কচুয়া রোড, কচুয়া",Chittagong,Chandpur
90.6904163,23.4829168,উত্তর মতলব,Chittagong,Chandpur
90.6654163,23.2412501,চাঁদপুর সদর,Chittagong,Chandpur
90.6987496,23.1745834,চাঁদপুর সদর,Chittagong,Chandpur
90.6737496,23.2495834,চাঁদপুর সদর,Chittagong,Chandpur
90.7487496,23.4079168,উত্তর মতলব,Chittagong,Chandpur
90.6654163,23.0912501,হাইমচর,Chittagong,Chandpur
