X,Y,address,adm1_boundary,adm2_boundary
79.9154164,24.8912501,"Rajnagar, Chhatarpur, Madhya Pradesh, IND",Madhya Pradesh,Chhatarpur
76.4487497,23.8912501,"465689, IND",Madhya Pradesh,Rajgarh
76.582083,24.0412501,"465679, IND",Madhya Pradesh,Rajgarh
76.3654164,24.0162501,"465691, IND",Madhya Pradesh,Rajgarh
76.4237497,32.1079167,"176047, IND",Himāchal Pradesh,Kangra
72.3820831,22.9829168,"382110, IND",Gujarāt,Ahmadabad
72.5737497,23.0412501,"380004, IND",Gujarāt,Ahmadabad
72.5237497,22.9579168,"382405, IND",Gujarāt,Ahmadabad
72.5404164,22.9662501,"382405, IND",Gujarāt,Ahmadabad
72.5320831,23.0745834,"380061, IND",Gujarāt,Ahmadabad
72.6154164,23.0079168,"Sukhramnagar Cross Road, Amraiwadi, Ahmedabad, Gujarat, 380026, IND",Gujarāt,Ahmadabad
72.5237497,23.0412501,"380054, IND",Gujarāt,Ahmadabad
72.5154164,22.9579168,"382405, IND",Gujarāt,Ahmadabad
72.5654164,23.1162501,"382424, IND",Gujarāt,Ahmadabad
72.6070831,22.9662501,"Canal Road, Isanpur, Ahmedabad, Gujarat, 382443, IND",Gujarāt,Ahmadabad
72.5487497,23.1079168,"New S G Road, Gota, Ahmedabad, Gujarat, 382481, IND",Gujarāt,Ahmadabad
72.5987497,23.0079168,"Kankaria Lake Walkway, Kankaria, Ahmedabad, Gujarat, 380008, IND",Gujarāt,Ahmadabad
72.4320831,22.9079168,"382213, IND",Gujarāt,Ahmadabad
72.5320831,22.9912501,"380055, IND",Gujarāt,Ahmadabad
72.4987497,22.9912501,"380051, IND",Gujarāt,Ahmadabad
72.5487497,22.9745834,"Pirana Industrial Complex, Gyaspur, Ahmedabad, Gujarat, 382405, IND",Gujarāt,Ahmadabad
72.4487497,22.9495834,"Kolat Navapura Road, Navapura, Sanand, Ahmedabad, Gujarat, 382210, IND",Gujarāt,Ahmadabad
